model,basename
BIOME-BGC,BIOME-BGC_SG3_Monthly
CLASS-CTEM-N,CLASS-CTEM-N_SG3_Monthly
CLM4,CLM4_SG3_Monthly
CLM4VIC,CLM4VIC_SG3_Monthly
DLEM,DLEM_SG3_Monthly
GTEC,GTEC_SG3_Monthly
ISAM,ISAM_SG3_Monthly
LPJ-WSL,LPJ-wsl_SG3_Monthly
ORCHIDEE-LSCE,ORCHIDEE-LSCE_SG3_Monthly
SiB3,SiB3_SG3_Monthly
SiBCASA,SiBCASA_SG3_Monthly
TEM6,TEM6_SG3_Monthly
TRIPLEX-GHG,TRIPLEX-GHG_SG3_Monthly
VEGAS2.1,VEGAS2.1_SG3_Monthly
VISIT,VISIT_SG3_Monthly
